Genre,Total,Titles,#1 Title,Lifetime Gross
Foreign Language,"$2,398,066,239 ","2,499","Crouching Tiger, Hidden Dragon","$128,418,870 "
Documentary,"$1,683,119,813 ","2,057",Fahrenheit 9/11,"$119,194,771 "
Adaptation,"$74,837,402,887 ",969,Avengers: Endgame,"$858,373,000 "
Adventure,"$70,953,560,886 ",883,Star Wars: Episode VII - The Force Awakens,"$936,662,225 "
Supernatural,"$61,835,100,259 ",755,Star Wars: Episode VII - The Force Awakens,"$936,662,225 "
Animation,"$32,961,390,040 ",720,Incredibles 2,"$608,581,744 "
Past,"$21,804,333,895 ",659,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812 "
Romantic Comedy,"$14,191,142,550 ",617,My Big Fat Greek Wedding,"$241,438,208 "
Sports,"$11,533,389,694 ",423,Furious 7,"$353,007,020 "
3D,"$51,616,407,367 ",396,Star Wars: Episode VII - The Force Awakens,"$936,662,225 "
IMAX,"$57,370,014,078 ",374,Star Wars: Episode VII - The Force Awakens,"$936,662,225 "
LGBTQ Theme,"$2,110,740,739 ",349,Bohemian Rhapsody,"$216,668,042 "
Homosexual Theme,"$2,110,740,739 ",349,Bohemian Rhapsody,"$216,668,042 "
Remake,"$15,265,157,106 ",296,The Lion King,"$543,638,043 "
Animal,"$15,657,603,189 ",239,Jurassic World,"$653,406,625 "
Politics,"$3,858,644,739 ",239,Captain America: The Winter Soldier,"$259,766,572 "
Book Adaptation,"$18,230,392,193 ",229,The Hunger Games: Catching Fire,"$424,668,047 "
Music,"$5,003,400,480 ",229,Bohemian Rhapsody,"$216,668,042 "
Criminal,"$7,594,378,288 ",210,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812 "
Team Sport,"$5,053,607,602 ",198,Forrest Gump,"$330,455,270 "
TV Show Adaptation,"$12,720,824,723 ",195,Transformers: Revenge of the Fallen,"$402,111,870 "
CGI Animation,"$24,488,637,192 ",194,Incredibles 2,"$608,581,744 "
Comic Book Adaptation,"$27,454,253,038 ",186,Avengers: Endgame,"$858,373,000 "
Media Industry,"$4,392,375,378 ",184,Bruce Almighty,"$242,829,261 "
