Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
1,Avengers: Endgame,"$858,373,000","4,662","$357,115,007","4,662","Apr 26, 2019",Walt Disney Studios Motion Pictures
2,Spider-Man: No Way Home,"$804,793,477","4,336","$260,138,569","4,336","Dec 17, 2021",Sony Pictures Entertainment (SPE)
3,Black Panther,"$700,059,566","4,084","$202,003,951","4,020","Feb 16, 2018",Walt Disney Studios Motion Pictures
4,Avengers: Infinity War,"$678,815,482","4,474","$257,698,183","4,474","Apr 27, 2018",Walt Disney Studios Motion Pictures
5,The Avengers,"$623,357,910","4,349","$207,438,708","4,349","May 4, 2012",Walt Disney Studios Motion Pictures
6,The Dark Knight,"$533,345,358","4,366","$158,411,483","4,366","Jul 18, 2008",Warner Bros.
7,Avengers: Age of Ultron,"$459,005,868","4,276","$191,271,109","4,276","May 1, 2015",Walt Disney Studios Motion Pictures
8,Black Panther: Wakanda Forever,"$453,251,600","4,396","$181,339,761","4,396","Nov 11, 2022",Walt Disney Studios Motion Pictures
9,The Dark Knight Rises,"$448,139,099","4,404","$160,887,295","4,404","Jul 20, 2012",Warner Bros.
10,Captain Marvel,"$426,829,839","4,310","$153,433,423","4,310","Mar 8, 2019",Walt Disney Studios Motion Pictures
11,Wonder Woman,"$412,563,408","4,165","$103,251,471","4,165","Jun 2, 2017",Warner Bros.
12,Doctor Strange in the Multiverse of Madness,"$411,331,607","4,534","$187,420,998","4,534","May 6, 2022",Walt Disney Studios Motion Pictures
13,Iron Man 3,"$409,013,994","4,253","$174,144,585","4,253","May 3, 2013",Walt Disney Studios Motion Pictures
14,Captain America: Civil War,"$408,084,349","4,226","$179,139,142","4,226","May 6, 2016",Walt Disney Studios Motion Pictures
15,Spider-Man,"$403,706,375","3,876","$114,844,116","3,615","May 3, 2002",Sony Pictures Entertainment (SPE)
16,Spider-Man: Far from Home,"$390,532,085","4,634","$92,579,212","4,634","Jul 2, 2019",Sony Pictures Entertainment (SPE)
17,Guardians of the Galaxy Vol. 2,"$389,813,101","4,347","$146,510,104","4,347","May 5, 2017",Walt Disney Studios Motion Pictures
18,Spider-Man 2,"$373,585,825","4,166","$88,156,227","4,152","Jun 30, 2004",Sony Pictures Entertainment (SPE)
19,The Batman,"$369,345,583","4,417","$134,008,624","4,417","Mar 4, 2022",Warner Bros.
20,Deadpool,"$363,070,709","3,856","$132,434,639","3,558","Feb 12, 2016",Twentieth Century Fox
21,Thor: Love and Thunder,"$343,256,830","4,375","$144,165,107","4,375","Jul 8, 2022",Walt Disney Studios Motion Pictures
22,Spider-Man 3,"$336,530,303","4,324","$151,116,516","4,252","May 4, 2007",Sony Pictures Entertainment (SPE)
23,Joker,"$335,451,311","4,374","$96,202,337","4,374","Oct 4, 2019",Warner Bros.
24,Aquaman,"$335,061,807","4,184","$67,873,522","4,125","Dec 21, 2018",Warner Bros.
25,Spider-Man: Homecoming,"$334,201,140","4,348","$117,027,503","4,348","Jul 7, 2017",Sony Pictures Entertainment (SPE)
26,Guardians of the Galaxy,"$333,176,600","4,088","$94,320,883","4,080","Aug 1, 2014",Walt Disney Studios Motion Pictures
27,Batman v Superman: Dawn of Justice,"$330,360,194","4,256","$166,007,347","4,242","Mar 25, 2016",Warner Bros.
28,Suicide Squad,"$325,100,054","4,255","$133,682,248","4,255","Aug 5, 2016",Warner Bros.
29,Iron Man,"$318,604,126","4,154","$98,618,668","4,105","May 2, 2008",Paramount Pictures
30,Deadpool 2,"$318,491,426","4,349","$125,507,153","4,349","May 18, 2018",Twentieth Century Fox
31,Thor: Ragnarok,"$315,058,289","4,080","$122,744,989","4,080","Nov 3, 2017",Walt Disney Studios Motion Pictures
32,Iron Man 2,"$312,433,331","4,390","$128,122,480","4,380","May 7, 2010",Paramount Pictures
33,Man of Steel,"$291,045,518","4,207","$116,619,362","4,207","Jun 14, 2013",Warner Bros.
34,The Amazing Spider-Man,"$262,030,663","4,318","$62,004,688","4,318","Jul 3, 2012",Sony Pictures Entertainment (SPE)
35,Captain America: The Winter Soldier,"$259,766,572","3,938","$95,023,721","3,938","Apr 4, 2014",Walt Disney Studios Motion Pictures
36,Batman,"$251,188,924","2,201","$40,489,746","2,194","Jun 23, 1989",Warner Bros.
37,Men in Black,"$250,690,539","3,180","$51,068,455","3,020","Jul 2, 1997",Sony Pictures Entertainment (SPE)
38,X-Men: The Last Stand,"$234,362,462","3,714","$102,750,665","3,690","May 26, 2006",Twentieth Century Fox
39,X-Men: Days of Future Past,"$233,921,534","4,001","$90,823,660","3,996","May 23, 2014",Twentieth Century Fox
40,Doctor Strange,"$232,641,920","3,882","$85,058,311","3,882","Nov 4, 2016",Walt Disney Studios Motion Pictures
41,Justice League,"$229,024,295","4,051","$93,842,239","4,051","Nov 17, 2017",Warner Bros.
42,Logan,"$226,277,068","4,071","$88,411,916","4,071","Mar 3, 2017",Twentieth Century Fox
43,Shang-Chi and the Legend of the Ten Rings,"$224,543,292","4,300","$75,388,688","4,300","Sep 3, 2021",Walt Disney Studios Motion Pictures
44,Big Hero 6,"$222,527,828","3,773","$56,215,889","3,761","Nov 7, 2014",Walt Disney Studios Motion Pictures
45,Ant-Man and the Wasp,"$216,648,740","4,206","$75,812,205","4,206","Jul 6, 2018",Walt Disney Studios Motion Pictures
46,X2: X-Men United,"$214,949,694","3,749","$85,558,731","3,741","May 2, 2003",Twentieth Century Fox
47,Venom,"$213,515,506","4,250","$80,255,756","4,250","Oct 5, 2018",Sony Pictures Entertainment (SPE)
48,300,"$210,614,939","3,280","$70,885,301","3,103","Mar 9, 2007",Warner Bros.
49,Thor: The Dark World,"$206,362,140","3,841","$85,737,841","3,841","Nov 8, 2013",Walt Disney Studios Motion Pictures
50,Batman Begins,"$205,343,774","3,858","$48,745,440","3,858","Jun 15, 2005",Warner Bros.
51,The Amazing Spider-Man 2,"$202,853,933","4,324","$91,608,337","4,324","May 2, 2014",Sony Pictures Entertainment (SPE)
52,Superman Returns,"$200,081,192","4,065","$52,535,096","4,065","Jun 28, 2006",Warner Bros.
53,Teenage Mutant Ninja Turtles,"$191,204,754","3,980","$65,575,105","3,845","Aug 8, 2014",Paramount Pictures
54,Men in Black II,"$190,418,803","3,641","$52,148,751","3,557","Jul 3, 2002",Sony Pictures Entertainment (SPE)
55,Spider-Man: Into the Spider-Verse,"$190,241,310","3,813","$35,363,376","3,813","Dec 14, 2018",Sony Pictures Entertainment (SPE)
56,Batman Forever,"$184,031,112","2,893","$52,784,433","2,842","Jun 16, 1995",Warner Bros.
57,Black Widow,"$183,651,655","4,275","$80,366,312","4,160","Jul 9, 2021",Walt Disney Studios Motion Pictures
58,Thor,"$181,030,624","3,963","$65,723,338","3,955","May 6, 2011",Paramount Pictures
59,Ant-Man,"$180,202,163","3,868","$57,225,526","3,856","Jul 17, 2015",Walt Disney Studios Motion Pictures
60,X-Men Origins: Wolverine,"$179,883,157","4,102","$85,058,003","4,099","May 1, 2009",Twentieth Century Fox
61,Men in Black 3,"$179,020,854","4,248","$54,592,779","4,248","May 25, 2012",Sony Pictures Entertainment (SPE)
